team_0,team_0_ranking,team_0_rating_average,team_0_k_total,team_0_a_total,team_0_d_total,team_0_k_avarage,team_0_a_avarage,team_0_d_avarage,team_0_adr_avarage,team_1,team_1_ranking,team_1_rating_average,team_1_k_total,team_1_a_total,team_1_d_total,team_1_k_avarage,team_1_a_avarage,team_1_d_avarage,team_1_adr_avarage,delta_ranking,delta_rating,delta_kills,delta_assists,delta_deaths,delta_adr,winner
The MongolZ The MongolZ,13, 0.88,63,17,78, 12.60, 3.40, 15.60, 68.92,Eternal Fire Eternal Fire,7, 1.15,78,26,64, 15.60, 5.20, 12.80, 80.78,6,-0.27,-15,-9,14,-59.3,1
The MongolZ The MongolZ,13, 1.54,68,25,40, 13.60, 5.00, 8.00, 83.68,Eternal Fire Eternal Fire,7, 0.63,39,13,68, 7.80, 2.60, 13.60, 58.82,6, 0.91,29,12,-28, 124.3,0
Vitality Vitality,3, 1.01,81,33,91, 16.20, 6.60, 18.20, 73.08,HEROIC HEROIC,16, 1.20,89,31,82, 17.80, 6.20, 16.40, 79.32,-13,-0.19,-8,2,9,-31.2,1
Vitality Vitality,3, 0.77,49,15,66, 9.80, 3.00, 13.20, 60.32,HEROIC HEROIC,16, 1.30,66,13,50, 13.20, 2.60, 10.00, 76.44,-13,-0.53,-17,2,16,-80.6,1
FURIA FURIA,14, 1.15,79,25,60, 15.80, 5.00, 12.00, 73.02,Natus Vincere Natus Vincere,1, 0.84,60,24,80, 12.00, 4.80, 16.00, 62.10,13, 0.31,19,1,-20, 54.6,0
FURIA FURIA,14, 1.39,66,25,43, 13.20, 5.00, 8.60, 80.96,Natus Vincere Natus Vincere,1, 0.74,43,12,66, 8.60, 2.40, 13.20, 57.48,13, 0.65,23,13,-23, 117.4,0
Virtus.pro Virtus.pro,9, 0.92,70,29,73, 14.00, 5.80, 14.60, 66.82,The MongolZ The MongolZ,13, 1.02,72,22,74, 14.40, 4.40, 14.80, 70.84,-4,-0.10,-2,7,-1,-20.1,0
Virtus.pro Virtus.pro,9, 1.52,68,27,43, 13.60, 5.40, 8.60, 88.28,The MongolZ The MongolZ,13, 0.72,43,21,68, 8.60, 4.20, 13.60, 66.36,-4, 0.80,25,6,-25, 109.6,0
FaZe FaZe,6, 0.84,55,24,75, 11.00, 4.80, 15.00, 60.90,MOUZ MOUZ,5, 1.26,75,25,55, 15.00, 5.00, 11.00, 78.24,1,-0.42,-20,-1,20,-86.7,1
FaZe FaZe,6, 1.06,102,39,102, 20.40, 7.80, 20.40, 72.86,MOUZ MOUZ,5, 1.04,101,34,102, 20.20, 6.80, 20.40, 74.68,1, 0.02,1,5,0,-9.1,0
